event.time,dataSource.name,message
,KafkaAppLogs," INFO  [2026-04-06 20:56:53,513] [dw-238 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-238 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406205653834489453345428795965868754969424851662539385] [#033[36mCreditLineServiceImpl#033[0;39m]: Fetching permanent credit lines with id: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 19:56:25,403] [dw-190 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-190 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406195625693846899562153246569473734818729473451584933] [#033[36mCreditLineServiceImpl#033[0;39m]: Fetching permanent credit lines with id: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:08:30,859] [dw-141 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-141 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406200830686369923619183992283935976946882484326648257] [#033[36mCreditLineResource#033[0;39m]: Credit lines fetched successfully. Response: PermanentCreditLines(creditLineResponses=[]) "
,KafkaAppLogs," INFO  [2026-04-06 20:18:45,980] [dw-141 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-141 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406201845373987181812945356894554633181649516767488484] [#033[36mCreditLineServiceImpl#033[0;39m]: Fetching permanent credit lines with id: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:19:04,972] [dw-227 - POST /bnpl-tijori/v3/bigfoot/ingest] [dw-227 - POST /bnpl-tijori/v3/bigfoot/ingest] [6e6fff1a-346d-42f7-8201-b0004409c365] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: Setting shard key to: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 19:56:54,166] [dw-109 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-109 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406195654273585639496411291752695763574771161421848692] [#033[36mCreditLineResource#033[0;39m]: Credit lines fetched successfully. Response: PermanentCreditLines(creditLineResponses=[]) "
,KafkaAppLogs," INFO  [2026-04-06 20:33:05,822] [dw-224 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-224 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406203305463126448544168348117918351871238488546226527] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: Setting shard key to: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:33:27,646] [dw-187 - POST /bnpl-tijori/v2/deviceAuth/fetch/PZT2604062032H8T4400] [dw-187 - POST /bnpl-tijori/v2/deviceAuth/fetch/PZT2604062032H8T4400] [REQ260406203327428648924565794857829275583558469679359217622] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: path=v2/deviceAuth/fetch/PZT2604062032H8T4400, X-User-Id header=[REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:08:39,544] [dw-125 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-125 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406200839339545486915336677449829819176654795996467836] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: path=v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT], X-User-Id header=[REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:20:27,997] [dw-120 - POST /bnpl-tijori/v1/dbutil/creditLine/create] [dw-120 - POST /bnpl-tijori/v1/dbutil/creditLine/create] [REQ260406202027217921376959851345739311479141339695433563278] [#033[36mCreditLineResource#033[0;39m]: Credit line created successfully. Response: CreditLineResponse(lineId=LOAN260406202027994719671341242915438484, merchantAccountId=[REDACTED_ACCOUNT], lenderCode=null, lan=null, productType=null, lineAccountType=null, status=null, crn=null, loanAccountType=null, serviceProvider=null, createdAt=null, updatedAt=null, loanAccValidFrom=null, loanAccValidUpto=null, emiPlanDetails=null, currentLimit=null, sanctionedLimit=null, lineValidUpto=null, customerId=null, emiType=null, emiSubType=null, onboardingId=null) "
